ID;year;region;region_conaf;area_conaf;areaha;day;month;lat;lon
ID10000;1986;8;Biob�o;510;51;4;1;-37671;-723978
ID100000;2003;7;Maule;500;50;9;2;-353283;-715799
ID10002;1986;16;�uble;870;87;3;2;-366711;-719708
ID100027;2003;7;Maule;800;80;15;2;-355755;-721725
ID10003;1986;16;�uble;530;53;6;2;-364938;-718524
ID100032;2003;7;Maule;150;15;15;2;-356253;-719868
ID100041;2003;7;Maule;7790;779;16;2;-356627;-71933
ID10005;1986;9;La Araucan�a;710;71;7;3;-384874;-726553
ID100057;2003;7;Maule;180;18;19;2;-347581;-720644
ID100058;2003;7;Maule;140;14;19;2;-359643;-717556
ID10006;1986;7;Maule;3400;340;4;1;-354229;-717811
ID100068;2003;7;Maule;820;82;21;2;-353431;-720974
ID10007;1986;5;Valpara�so;2380;238;4;1;-331204;-716522
ID10008;1986;6;OHiggins;4140;414;23;1;-346535;-710351
ID100081;2003;7;Maule;850;85;23;2;-354739;-719151
ID10009;1986;9;La Araucan�a;600;60;4;2;-382115;-723901
ID100090;2003;7;Maule;110;11;27;2;-352158;-713456
ID100095;2003;7;Maule;100;10;1;3;-355598;-717086
ID100097;2003;7;Maule;3090;309;3;3;-358864;-723399
ID100098;2003;7;Maule;200;20;3;3;-350373;-720748
ID10010;1986;9;La Araucan�a;850;85;10;2;-38007;-721241
ID10011;1986;16;�uble;720;72;31;1;-369082;-721434
ID100119;2003;7;Maule;1000;100;12;3;-357146;-716365
ID10012;1986;16;�uble;1200;120;6;2;-366582;-722422
ID10013;1986;9;La Araucan�a;600;60;19;3;-394027;-720908
ID100134;2003;7;Maule;700;70;20;3;-355707;-720068
ID10015;1986;9;La Araucan�a;930;93;17;12;-380078;-730351
ID100150;2003;7;Maule;130;13;21;3;-361251;-718168
ID100154;2003;7;Maule;200;20;23;3;-355712;-715987
ID100168;2003;7;Maule;100;10;1;4;-359707;-722215
ID100169;2003;7;Maule;300;30;1;4;-359059;-715431
ID10017;1986;14;Los R�os;1300;130;8;1;-401511;-729747
ID100173;2003;7;Maule;1200;120;4;4;-352064;-713673
ID100174;2003;7;Maule;340;34;4;4;-350834;-711993
ID100177;2003;7;Maule;100;10;5;4;-349368;-707903
ID10018;1986;7;Maule;1500;150;18;11;-349611;-718749
ID100182;2003;7;Maule;2000;200;6;4;-361071;-718161
ID10019;1986;16;�uble;2180;218;6;2;-37121;-720029
ID100190;2003;7;Maule;116;11,6;8;4;-358983;-714764
ID100198;2003;7;Maule;150;15;11;4;-350972;-709144
ID100199;2003;7;Maule;100;10;11;4;-350884;-709033
ID10020;1986;9;La Araucan�a;2800;280;4;2;-393433;-72244
ID100200;2003;7;Maule;600;60;12;4;-351421;-709265
ID100201;2003;7;Maule;2000;200;12;4;-35106;-709256
ID10021;1986;9;La Araucan�a;1520;152;25;12;-38257;-72857
ID10022;1986;8;Biob�o;2070;207;22;1;-377373;-721459
ID10023;1986;9;La Araucan�a;2040;204;7;2;-384648;-724265
ID100230;2003;7;Maule;600;60;1;5;-35311;-719422
ID100232;2003;7;Maule;180;18;2;5;-359816;-724769
ID10024;1986;9;La Araucan�a;4440;444;4;2;-379957;-724092
ID100247;2003;7;Maule;180;18;11;1;-353088;-711944
ID10025;1986;8;Biob�o;3040;304;26;1;-373422;-722061
ID10026;1986;8;Biob�o;3800;380;6;3;-370705;-730371
ID10027;1986;7;Maule;3040;304;1;3;-356033;-717763
ID100271;2003;7;Maule;1600;160;10;4;-350873;-70969
ID100272;2003;7;Maule;400;40;11;4;-350785;-709579
ID10028;1986;16;�uble;3120;312;8;3;-364268;-728192
ID100444;2003;8;Biob�o;100;10;5;1;-366094;-729482
ID100524;2003;16;�uble;987;98,7;12;1;-366558;-721416
ID100528;2003;16;�uble;1455;145,5;12;1;-364498;-721938
ID100530;2003;16;�uble;140;14;12;1;-367318;-723067
ID10055;1987;4;Coquimbo;150;15;25;1;-316906;-707673
